prod name / epa Reg,count
440 Superior Spray Oil | epa: 2935-546,119
Carbaryl 4L | epa: 19713-49,79
Lorsban® Advanced | epa: 62719-591,79
Assail® 70WP Insecticide | epa: 8033-23-70506,64
Lorsban®-4E Insecticide | epa: 62719-220,64
Asana® XL Insecticide | epa: 59639-209,50
Acramite® - 50WS | epa: 400-503,45
Ambush® 25W Insecticide Wettable Powder | epa: 5481-502,37
Calypso® 4 Flowable Insecticide | epa: 264-806,37
Delegate® WG | epa: 62719-541,35
Rex Lime Sulfur Solution | epa: 71096-6,34
Warrior II with Zeon Technology® | epa: 100-1295,23
Belt® SC Insecticide | epa: 264-1025,22
Cidetrak® Da Mec™ | epa: 51934-12,20
DuPont™ Fontelis® FUNGICIDE | epa: 352-834,18
DuPont™ Altacor® | epa: 352-730,17
Drexel® Sulfur 80 WDG | epa: 19713-674,16
FireLine™ 17 WP fungicide/bactericide | epa: 80990-1,15
Imidan® 70-W | epa: 10163-169,15
Luna® SENSATION | epa: 264-1090,15
IAP HI SUPREME 440 SPRAY OIL-NW | epa: 71058-6,14
Lambda-CY™ EC - RUP | epa: 70506-121,13
Isomate®  CM Flex | epa: 53575-32,12
Pitch® 35WP | epa: 59639-115-66222,12
Surround® WP Crop Protectant | epa: 61842-18,12
PHT 440 Supreme Spray Oil | epa: 7001-7781,11
Success® NATURALYTE® INSECT CONTROL | epa: 62719-292,11
DiPel® DF Biological Insecticide Dry Flowable | epa: 73049-39,10
Entrust® SC Naturalite®   Insect Control | epa: 62719-621,10
Intruder® Max 70WP Insecticide | epa: 8033-23-70506,10
Topguard® Fungicide Specialty Crops | epa: 279-3557,10
Eraser™ | epa: 62719-220-71058,9
Crusade DF | epa: 62562-8-71058,8
Provado® 1.6 Flowable Insecticide | epa: 264-763,8
Omni Supreme Spray | epa: 5905-368,6
Ultor® | epa: 264-1065,6
JET-AG® | epa: 81803-6,5
Supracide® 2E | epa: 10163-236,5
